"idade","frequencia","tempo_treino","gasto_mensal","tempo_plano"
27,4.8,80,233,32
27,5.7,78,242,43
35,4.8,82,233,31
23,5.1,49,268,34
28,5.8,63,253,15
19,5.4,79,242,34
26,4.8,66,241,37
24,4.9,91,204,37
30,6.7,90,172,48
28,4.7,82,254,15
32,5.7,73,249,19
39,5.7,85,239,35
32,5.6,84,197,20
24,6.6,61,174,14
35,4,69,186,27
31,4.8,58,229,21
32,4,69,167,34
26,5.9,71,251,31
36,4.8,83,232,31
32,3.7,81,276,22
26,4.6,76,281,23
21,3.9,81,243,23
26,5.1,60,250,32
29,5.3,77,178,31
31,5.2,90,191,33
30,5.7,60,171,28
26,5.3,76,250,25
29,6.9,65,258,12
23,6.1,74,204,19
34,4.2,82,161,37
26,5.5,61,213,20
27,5.5,74,282,32
29,5.7,56,227,33
30,6,84,199,22
35,6.1,70,316,25
39,5,70,225,19
29,6.4,61,257,26
28,5.9,82,186,22
40,4.3,62,196,18
32,6,69,217,26
40,6.1,101,201,25
32,5,86,177,21
41,6.4,80,221,36
29,5.6,74,211,12
26,5.1,96,244,34
25,4.7,58,200,31
36,6.9,77,180,33
30,5.8,76,157,35
41,6.6,67,170,35
27,6.3,65,244,31
39,5.6,84,331,28
37,5.6,75,186,24
32,4.7,80,151,21
34,4.9,56,264,24
28,6.1,79,216,32
28,5.8,77,221,25
33,5.4,70,290,32
26,5.2,98,286,19
32,4.4,81,186,32
36,5.2,84,207,24
30,4.5,73,229,23
33,6.7,76,217,31
27,5.2,60,221,31
31,4.3,61,189,18
33,4.5,80,218,27
37,5.6,68,276,34
26,5.2,72,121,29
32,3.9,58,207,28
33,6.1,67,261,16
35,4.8,74,265,21
20,7,55,227,10
32,4.7,70,202,34
33,5.9,76,222,9
27,5.5,69,261,30
32,4.3,72,271,22
24,5.7,96,215,26
33,5.3,80,179,42
23,5.4,77,235,19
39,5.4,67,206,30
35,4.5,85,232,31
40,4.3,85,222,41
30,4.4,85,252,36
29,5.5,73,276,20
30,4.9,78,234,25
40,5.4,87,222,29
31,5.3,70,220,31
35,4.4,80,130,38
35,4.8,65,189,32
25,5.1,100,234,31
34,4,85,132,24
34,5.5,73,250,17
33,5.1,86,189,28
24,4.9,87,279,36
29,4.5,81,267,34
40,4.6,57,231,39
24,4.4,81,209,30
32,5.2,68,202,44
25,4.5,84,195,30
22,4.1,65,273,27
34,3.1,71,163,26
40,3.4,80,205,39
27,4.5,73,276,40
26,5.9,99,188,28
24,5.8,90,293,33
35,4.7,89,279,22
23,5.8,97,198,22
23,6.5,63,229,31
30,4.7,78,281,33
32,5.3,61,210,21
25,5.8,64,230,28
38,4.1,59,262,20
30,4.9,76,243,27
30,4.3,60,220,35
39,5.9,84,188,20
24,5.3,66,233,31
32,4.5,78,205,20
24,4.7,77,269,38
26,4.2,97,231,38
31,5.2,69,207,27
34,5.6,81,152,18
25,3.9,50,175,17
37,1.2,55,115,14
28,2.2,55,159,15
39,0.8,45,171,21
26,4.2,32,105,18
34,2.1,54,177,16
28,3.9,50,149,5
31,3.7,28,149,14
35,1.7,61,132,18
36,2.4,27,168,19
18,3.5,53,101,21
33,3.4,52,148,21
19,3,64,121,6
37,2.7,48,157,19
24,2.6,50,160,17
29,1.7,50,186,3
22,2.3,47,122,8
27,1.8,17,152,12
30,2,49,137,14
30,1.3,47,189,14
27,3.5,63,164,17
30,2.2,54,184,1
26,3.6,24,159,11
33,3.9,47,186,13
28,3.3,37,160,15
20,2.9,42,115,12
33,4.2,57,171,8
