  ID C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18
  1 1 3 4 4 3 4 3 4 4 3 4 3 4 4 3 2 2 2
  2 2 4 1 1 2 1 4 2 2 4 4 3 2 2 4 2 1 4
  3 4 4 1 1 1 3 1 3 2 4 5 1 5 4 5 2 2 4
  4 3 1 4 5 4 3 3 3 5 1 1 2 3 5 1 5 5 3
  5 4 4 2 2 1 4 2 2 1 4 5 1 4 2 4 1 1 2
  6 5 5 1 1 1 5 1 3 1 5 5 1 5 5 5 1 2 4
  7 3 3 1 2 2 1 4 3 2 4 4 2 3 2 3 2 1 2
  8 3 4 1 1 1 3 2 3 3 4 5 1 3 5 4 2 1 2
  9 4 4 1 2 2 4 4 3 1 5 5 2 4 4 4 4 1 4
 10 4 4 2 2 1 3 5 2 2 4 5 1 3 4 4 2 1 5
 11 2 3 3 3 2 3 4 2 2 4 4 2 4 3 3 3 4 2
 12 2 3 2 3 3 2 3 3 4 4 5 5 4 2 4 4 2 4
 13 1 5 1 1 2 5 1 4 4 5 5 1 4 5 4 1 4 4
 14 3 3 3 2 1 3 2 2 2 3 4 2 3 3 3 2 1 3
 15 2 5 1 1 1 4 1 1 1 5 5 1 4 4 2 5 1 2
 16 2 2 3 4 4 3 1 3 5 4 4 3 1 2 4 1 3 3
 17 4 4 1 2 3 4 2 3 2 5 5 1 4 4 4 3 2 4
 18 5 5 1 1 1 1 1 1 1 5 5 1 5 5 5 1 1 4
 19 5 5 1 1 1 1 4 2 1 5 5 1 5 4 5 1 2 2
 20 4 5 1 1 1 4 1 1 2 5 5 1 4 4 4 2 1 1
 21 4 5 1 3 1 4 3 2 4 3 4 3 2 5 5 1 1 5
 22 2 5 5 2 2 4 5 2 2 4 4 1 5 4 4 5 1 1
 23 4 3 1 1 1 4 2 2 2 5 5 1 4 5 5 5 2 3
 24 4 4 2 2 2 3 1 2 1 4 4 3 3 5 4 3 2 4
 25 1 4 1 2 2 2 4 1 1 5 4 2 1 5 3 2 1 4
 26 2 4 1 2 2 1 4 2 2 3 4 3 4 4 3 2 2 2
 27 1 1 1 1 1 4 4 4 2 5 5 1 1 5 3 1 1 1
 28 4 4 1 2 2 4 3 2 1 4 4 2 4 4 4 2 2 2
 29 5 5 1 5 4 5 5 4 5 4 3 2 1 5 5 4 3 1
 30 3 4 1 2 1 3 2 2 2 5 4 2 4 4 5 1 1 4
 31 4 4 2 1 1 4 2 2 2 4 4 2 3 3 4 2 1 5
 32 4 4 2 1 2 5 4 2 2 4 5 2 3 4 4 1 2 4
 33 3 3 3 2 2 1 5 5 2 3 5 1 5 5 3 3 3 4
 34 4 5 1 1 1 5 3 4 1 5 5 1 4 4 5 1 1 5
 35 3 4 2 2 2 3 2 2 3 4 4 2 4 2 2 2 2 3
 36 4 4 2 2 2 4 4 2 2 4 4 2 4 4 4 2 2 4
 37 4 4 1 1 1 4 1 2 1 4 5 1 5 4 5 2 2 4
 38 1 4 1 1 1 2 2 1 1 5 4 1 4 4 2 4 1 4
 39 3 2 4 4 4 4 2 4 4 3 5 2 2 3 4 2 1 4
 40 4 5 1 2 1 2 2 2 1 4 4 2 2 3 4 2 2 2
 41 4 3 1 3 2 2 1 2 2 4 4 1 3 5 4 2 1 2
 42 4 5 1 1 1 5 1 1 1 5 5 1 4 5 5 1 1 4
 43 4 5 1 5 2 2 3 4 2 4 4 1 4 4 3 2 3 2
 44 3 4 1 2 2 4 1 1 2 5 3 3 2 4 4 2 2 5
 45 2 4 1 1 1 2 1 1 1 3 4 2 1 1 3 2 1 4
 46 2 3 3 5 4 1 3 4 5 4 3 4 3 4 4 4 5 5
 47 4 4 1 1 1 3 3 4 2 5 4 1 4 2 4 2 2 3
 48 3 5 1 2 1 4 2 2 2 5 5 1 3 4 4 1 2 4
 49 2 4 1 1 2 3 2 4 2 4 5 1 4 5 3 2 2 5
 50 5 5 1 1 1 5 1 1 1 5 5 1 4 4 5 1 1 4
 51 4 4 2 2 2 4 2 1 2 4 4 1 3 4 4 2 2 2
 52 4 2 2 1 1 3 5 5 2 4 4 2 2 2 4 2 2 4
 53 2 5 1 1 1 4 3 1 2 4 3 2 3 3 4 2 1 5
 54 4 5 2 1 4 4 1 5 1 2 5 1 2 2 3 4 1 5
 55 4 4 1 1 1 5 2 2 2 5 4 2 4 4 5 3 2 4
 56 3 5 2 2 2 4 3 1 1 5 4 1 3 5 4 1 1 5
 57 4 5 2 4 2 4 2 2 4 5 5 1 4 5 4 5 3 2
 58 4 4 2 1 2 2 4 1 1 5 4 2 2 2 5 1 1 2
 59 2 3 2 4 2 4 4 2 2 4 4 3 4 3 4 4 2 4
 60 5 5 1 1 1 5 1 2 1 5 5 1 5 5 5 1 1 5
 61 5 5 1 1 1 5 1 2 1 5 5 1 5 5 5 2 1 1
 62 2 4 1 1 1 1 3 3 1 4 5 1 3 5 3 4 4 4
 63 3 4 2 2 2 4 3 4 3 3 4 1 4 4 4 2 1 4
 64 3 4 4 3 2 3 4 2 1 3 4 1 3 4 3 3 1 3
 65 5 5 1 1 1 3 1 4 1 5 5 1 4 5 5 1 4 5
 66 3 4 2 2 2 4 3 4 2 4 4 1 3 4 5 2 1 4
 67 3 4 4 1 1 4 3 3 2 4 4 1 3 3 4 1 1 4
 68 1 2 5 5 4 1 4 5 5 1 1 1 1 1 5 5 5 1
 69 4 2 4 1 1 4 2 2 2 4 2 1 5 5 1 3 4 1
 70 3 2 5 1 5 2 5 3 1 4 4 5 3 4 3 1 1 2
 71 5 3 2 1 2 4 1 2 1 4 4 1 3 4 1 2 1 5
 72 4 5 1 1 1 2 1 1 2 5 5 1 5 5 5 5 4 2
 73 3 2 5 3 2 3 1 4 4 4 5 1 2 1 3 2 1 3
 74 4 4 3 3 3 2 2 4 4 4 3 2 4 2 4 3 3 2
 75 3 4 1 1 1 5 2 2 4 3 5 4 2 2 1 1 1 3
 76 2 3 2 2 3 3 2 4 4 4 4 3 2 4 3 4 2 3
 77 2 3 1 2 4 3 3 2 1 5 4 3 2 2 3 4 1 4
 78 5 5 1 1 1 4 1 2 1 5 5 1 5 5 5 3 1 3
 79 1 4 1 3 2 1 1 4 5 1 1 3 1 1 4 1 1 4
 80 1 3 2 2 5 5 3 4 3 5 4 2 3 4 4 1 3 3
 81 4 4 1 4 4 4 4 1 2 4 1 2 4 4 4 4 2 2
 82 1 5 1 2 1 5 2 1 2 5 5 3 5 5 5 4 1 4
 83 4 4 2 2 2 4 2 2 3 4 2 2 2 4 2 2 2 4
 84 2 2 2 3 3 3 4 2 2 3 2 4 2 2 3 4 2 2
 85 4 4 1 1 1 5 1 1 1 5 5 1 4 4 4 1 1 5
 86 1 2 3 4 2 2 4 4 5 3 3 4 1 1 4 2 4 4
 87 4 4 1 1 1 2 1 2 2 1 2 1 4 4 5 2 1 5
 88 1 2 2 2 1 2 4 4 2 5 4 1 4 2 2 4 4 1
 89 1 3 2 2 1 4 2 2 4 4 2 2 1 4 4 3 2 4
 90 1 1 3 2 4 4 2 4 2 4 4 3 2 2 2 2 2 2
 91 4 5 1 1 1 4 1 1 1 4 5 2 4 4 5 3 2 4
 92 5 5 1 1 1 5 1 2 1 5 5 1 5 5 5 2 1 5
 93 3 4 1 2 2 3 1 1 3 5 5 1 4 4 3 1 1 4
